lot_id,component,received_at,quantity_on_hand,quantity_reserved,use_by_at,quality_status,value_source,order_id,quantity_received,ready_at,as_of
LOT-00151,comp2,2015-12-09 06:00:00,0,0,2016-01-08 06:00:00,available,assumption:synthetic_operations_v1,PO-00137,14,2015-12-16 06:00:00,2016-01-01 06:00:00
LOT-00152,comp4,2015-12-09 06:00:00,0,0,2016-04-07 06:00:00,available,assumption:synthetic_operations_v1,PO-00146,19,2015-12-12 06:00:00,2016-01-01 06:00:00
LOT-00153,comp3,2015-12-09 06:00:00,0,0,2016-03-08 06:00:00,available,assumption:synthetic_operations_v1,PO-00148,6,2015-12-11 06:00:00,2016-01-01 06:00:00
LOT-00154,comp1,2015-12-09 06:00:00,0,0,2016-06-06 06:00:00,available,assumption:synthetic_operations_v1,PO-00150,17,2015-12-10 06:00:00,2016-01-01 06:00:00
LOT-00155,comp2,2015-12-16 06:00:00,15,0,2016-01-15 06:00:00,available,assumption:synthetic_operations_v1,PO-00141,15,2015-12-23 06:00:00,2016-01-01 06:00:00
LOT-00156,comp4,2015-12-16 06:00:00,3,0,2016-04-14 06:00:00,available,assumption:synthetic_operations_v1,PO-00149,7,2015-12-19 06:00:00,2016-01-01 06:00:00
LOT-00157,comp3,2015-12-16 06:00:00,0,0,2016-03-15 06:00:00,available,assumption:synthetic_operations_v1,PO-00152,29,2015-12-18 06:00:00,2016-01-01 06:00:00
LOT-00158,comp1,2015-12-16 06:00:00,0,0,2016-06-13 06:00:00,available,assumption:synthetic_operations_v1,PO-00154,8,2015-12-17 06:00:00,2016-01-01 06:00:00
LOT-00159,comp2,2015-12-23 06:00:00,13,0,2016-01-22 06:00:00,available,assumption:synthetic_operations_v1,PO-00144,13,2015-12-30 06:00:00,2016-01-01 06:00:00
LOT-00160,comp4,2015-12-23 06:00:00,13,0,2016-04-21 06:00:00,available,assumption:synthetic_operations_v1,PO-00153,13,2015-12-26 06:00:00,2016-01-01 06:00:00
LOT-00161,comp1,2015-12-23 06:00:00,0,0,2016-06-20 06:00:00,available,assumption:synthetic_operations_v1,PO-00158,12,2015-12-24 06:00:00,2016-01-01 06:00:00
LOT-00162,comp3,2015-12-25 06:00:00,12,0,2016-03-24 06:00:00,available,assumption:synthetic_operations_v1,PO-00156,12,2015-12-27 06:00:00,2016-01-01 06:00:00
LOT-00163,comp2,2015-12-30 06:00:00,8,0,2016-01-29 06:00:00,available,assumption:synthetic_operations_v1,PO-00147,8,2016-01-06 06:00:00,2016-01-01 06:00:00
LOT-00164,comp3,2015-12-30 06:00:00,14,0,2016-03-29 06:00:00,available,assumption:synthetic_operations_v1,PO-00160,14,2016-01-01 06:00:00,2016-01-01 06:00:00
LOT-00165,comp1,2015-12-30 06:00:00,0,0,2016-06-27 06:00:00,available,assumption:synthetic_operations_v1,PO-00162,5,2015-12-31 06:00:00,2016-01-01 06:00:00
LOT-00166,comp4,2015-12-31 06:00:00,14,0,2016-04-29 06:00:00,available,assumption:synthetic_operations_v1,PO-00157,14,2016-01-03 06:00:00,2016-01-01 06:00:00
